"year","razon","freq"
2012,"abandono",207
2012,"horario",187
2012,"reingresable",151
2012,"recorte",81
2012,"faltista",69
2012,"personal",69
2012,"baja",33
2012,"trabajar",30
2012,"renuncia",28
2012,"queria",26
2012,"sueldo",26
2012,"voluntaria",26
2012,"despidio",23
2012,"dio",23
2012,"problemas",23
2012,"semana",21
2012,"indisciplinado",20
2012,"renuncio",19
2012,"santa",19
2012,"empresa",18
2012,"retiro",18
2012,"voluntario",17
2012,"destajo",16
2012,"regreso",16
2012,"banda",15
2012,"dias",15
2012,"encontro",15
2012,"debiendo",14
2012,"bajo",13
2012,"pudo",13
2012,"tenia",13
2012,"dejo",12
2012,"gusto",12
2012,"dia",11
2012,"dic",11
2012,"familiares",11
2012,"debe",10
2012,"lento",10
2012,"ojo",10
2012,"dieron",9
2012,"fabrica",9
2012,"mala",9
2012,"cambio",8
2012,"casa",8
2012,"flojo",8
2012,"habia",8
2012,"peleo",8
2012,"presion",8
2012,"puede",8
2012,"sistema",8
2013,"abandono",511
2013,"destajo",125
2013,"reingresable",99
2013,"personal",78
2013,"recorte",77
2013,"faltista",64
2013,"gusto",61
2013,"renuncia",33
2013,"baja",32
2013,"voluntaria",31
2013,"trabajar",30
2013,"regreso",28
2013,"voluntario",27
2013,"retiro",26
2013,"debe",23
2013,"dieron",20
2013,"renuncio",20
2013,"queria",19
2013,"empresa",18
2013,"dias",17
2013,"semana",17
2013,"banda",15
2013,"encontro",15
2013,"problemas",15
2013,"dijo",13
2013,"dejo",12
2013,"ojo",12
2013,"pudo",12
2013,"santa",12
2013,"cambiaron",11
2013,"cambio",11
2013,"demando",11
2013,"lento",11
2013,"mala",11
2013,"sabe",11
2013,"despidieron",10
2013,"horario",10
2013,"iba",10
2013,"sistema",10
2013,"tenia",10
2013,"peleo",9
2013,"puede",9
2013,"tarde",9
2013,"actitud",8
2013,"dia",8
2013,"dic",8
2013,"hijo",8
2013,"julio",8
2013,"mal",8
2013,"planta",8
2014,"abandono",320
2014,"faltista",82
2014,"reingresable",82
2014,"dias",48
2014,"baja",44
2014,"santa",31
2014,"semana",31
2014,"dieron",29
2014,"regreso",29
2014,"solo",29
2014,"renuncia",28
2014,"voluntaria",28
2014,"dos",26
2014,"debe",23
2014,"trabajar",21
2014,"empresa",19
2014,"dio",17
2014,"renuncio",17
2014,"banda",16
2014,"despidieron",16
2014,"sueldo",16
2014,"problemas",14
2014,"horario",13
2014,"queria",13
2014,"debiendo",12
2014,"indisciplinado",11
2014,"personal",11
2014,"recorte",11
2014,"dia",10
2014,"retiro",10
2014,"voluntario",10
2014,"cambio",9
2014,"dejo",9
2014,"despidio",9
2014,"peleo",9
2014,"tarde",9
2014,"demando",8
2014,"enfermo",8
2014,"faltas",8
2014,"gusto",8
2014,"hijo",8
2014,"pudo",8
2014,"despedido",7
2014,"dijo",7
2014,"estudiar",7
2014,"mal",7
2014,"casa",6
2014,"cuide",6
2014,"dentro",6
2014,"estudiante",6
2015,"abandono",349
2015,"reingresable",75
2015,"solo",70
2015,"dias",56
2015,"faltista",48
2015,"trabajar",39
2015,"baja",30
2015,"dos",28
2015,"renuncia",28
2015,"voluntaria",28
2015,"dieron",24
2015,"regreso",24
2015,"sueldo",23
2015,"banda",19
2015,"despidieron",19
2015,"queria",18
2015,"recorte",18
2015,"personal",17
2015,"problemas",16
2015,"semana",16
2015,"acabo",14
2015,"gusto",14
2015,"cambio",12
2015,"indisciplinado",12
2015,"pudo",12
2015,"retiro",12
2015,"voluntario",12
2015,"renuncio",11
2015,"tenia",11
2015,"dio",9
2015,"falto",9
2015,"sabe",9
2015,"dejo",8
2015,"dijo",8
2015,"quiere",8
2015,"cambiaron",7
2015,"cuide",7
2015,"enfermo",7
2015,"estudiar",7
2015,"faltas",7
2015,"hijo",7
2015,"horario",7
2015,"nuevo",7
2015,"peleo",7
2015,"problematico",7
2015,"puesto",7
2015,"tarde",7
2015,"venir",7
2015,"bajo",6
2015,"calidad",6
2016,"abandono",393
2016,"faltista",52
2016,"nuevo",39
2016,"reingresable",38
2016,"retiro",36
2016,"voluntario",35
2016,"sueldo",25
2016,"trabajar",25
2016,"personal",20
2016,"recorte",20
2016,"queria",16
2016,"renuncia",15
2016,"baja",14
2016,"dijo",14
2016,"indisciplinado",14
2016,"regreso",14
2016,"voluntaria",13
2016,"faltas",12
2016,"banda",11
2016,"estudiante",10
2016,"debe",9
2016,"encontro",9
2016,"entro",9
2016,"gusto",9
2016,"horario",9
2016,"pidio",9
2016,"bajo",8
2016,"despidieron",8
2016,"dias",8
2016,"dieron",8
2016,"indisciplina",8
2016,"solo",8
2016,"ganar",7
2016,"nueva",7
2016,"permiso",7
2016,"sabe",7
2016,"tenia",7
2016,"acoplo",6
2016,"cambio",6
2016,"flojo",6
2016,"problemas",6
2016,"tarde",6
2016,"cambiaron",5
2016,"dejo",5
2016,"enferma",5
2016,"enfermo",5
2016,"fumando",5
2016,"hijo",5
2016,"hizo",5
2016,"mismo",5
