"NUM","antiguedad","depto.group","sexo","municipio","edo.civil.fit","sueldo","puesto","edad.fit","estudios","ingreso","rango.edad","meses.antiguedad","grupo.puesto","nivel.critico","cambios.depto","reingresos","cambios.sueldo","sueldo.min","sueldo.max","aumento","dias.para.aumento"
8023,34,"MONTADO","femenino","SILAO",3,800,"ADORNADORA",22,"Secundaria",2012-01-10,3,1,"PRELIMINAR A-B",2,0,1,0,800,800,0,0
8024,22,"PESPUNTE","masculino","LEON",3,910,"CONFORMADOR",25,"Secundaria",2013-05-29,3,0,"CRITICO",0,1,3,1,910,1000,90,245
8025,362,"PREPARADO","masculino","LEON",1,0,"PESPUNTADOR B",34,"Primaria",2012-01-13,4,12,"PESPUNTADOR A-B",1,0,1,0,1500,1500,0,0
8027,71,"PESPUNTE","masculino","LEON",2,1800,"PESPUNTADOR A",33,"Primaria",2012-10-02,4,2,"PESPUNTADOR A-B",1,0,1,0,1800,1800,0,0
8029,93,"PESPUNTE","masculino","LEON",3,900,"PRELIMINAR A",32,"Secundaria",2012-01-16,4,3,"PRELIMINAR A-B",2,0,1,0,900,900,0,0
8034,292,"MONTADO","masculino","LEON",4,1200,"EMBARRADOR SUELA",25,"Primaria",2014-07-10,3,9,"PRELIMINAR C",5,2,3,0,1200,1200,0,0
8036,7,"MONTADO","femenino","LEON",3,850,"PRELIMINAR C",22,"Primaria",2012-06-08,3,0,"PRELIMINAR C",5,0,1,0,850,850,0,0
8039,701,"CORTE","masculino","LEON",1,1400,"CORTADOR",35,"Ninguno",2012-01-11,4,23,"CORTADOR",3,1,5,3,1200,1800,600,371
8043,5,"MONTADO","masculino","LEON",3,1100,"MONTADOR DE LADOS",28,"Secundaria",2013-02-08,3,0,"CRITICO",0,0,1,0,1100,1100,0,0
8044,135,"AVIO","masculino","LEON",1,1050,"EMBARRADOR ZAPATO",47,"Ninguno",2012-01-16,5,4,"PRELIMINAR C",5,0,1,0,1050,1050,0,0
8046,45,"PESPUNTE","femenino","SILAO",3,900,"PRELIMINAR B",22,"Primaria",2015-09-01,3,1,"PRELIMINAR A-B",2,4,5,2,800,900,100,1281
8051,45,"MONTADO","masculino","LEON",1,850,"EMBARRADOR ZAPATO",36,"Secundaria",2012-01-18,4,1,"PRELIMINAR C",5,0,1,0,850,850,0,0
8052,31,"MONTADO","masculino","LEON",3,800,"PRELIMINAR C",22,"Primaria",2012-08-14,3,1,"PRELIMINAR C",5,0,1,0,800,800,0,0
8056,252,"AVIO","masculino","LEON",2,1900,"APOMAZAR",50,"Primaria",2016-05-05,5,8,"CRITICO",0,0,3,2,1600,1900,300,909
8060,1,"PESPUNTE","masculino","LEON",1,910,"RECORTAR",43,"Primaria",2013-07-09,5,0,"PRELIMINAR A-B",2,0,2,1,910,1400,490,1
