"puesto","NUM","antiguedad","depto.group","sexo","municipio","edo.civil.fit","sueldo","edad.fit","estudios","ingreso","rango.edad","meses.antiguedad","grupo.puesto","nivel.critico","cambios.depto","reingresos","cambios.sueldo","sueldo.min","sueldo.max","aumento","dias.para.aumento","dias.salio.cambio","salio.por.cambio","sueldo.max.fit","sueldo.min.fit","puesto.fit"
"A-PESPUNTADOR",11010,527,"PESPUNTE","masculino","LEON",1,1700,52,"Ninguno",2015-05-21,6,17,"PESPUNTADOR A-B",1,1,2,0,1700,1700,0,0,NA,NA,1700,1700,"A-PESPUNTADOR"
"A-PESPUNTADOR",11137,453,"PESPUNTE","masculino","LEON",4,1800,26,"Primaria",2015-08-03,3,15,"PESPUNTADOR A-B",1,1,3,1,1700,1800,100,217,NA,NA,1800,1700,"A-PESPUNTADOR"
"A-PESPUNTADOR",8260,863,"PESPUNTE","masculino","LEON",1,1700,32,"Secundaria",2014-06-19,4,28,"PESPUNTADOR A-B",1,1,6,3,1500,1800,300,623,-1176,0,1800,1500,"A-PESPUNTADOR"
"A-PESPUNTADOR",9702,403,"PESPUNTE","masculino","SILAO",4,1700,23,"Secundaria",2015-09-22,3,13,"PESPUNTADOR A-B",1,6,10,3,1540,1800,260,952,-229,0,1800,1540,"A-PESPUNTADOR"
"A-PESPUNTADOR",10300,863,"PESPUNTE","masculino","LEON",4,1700,21,"Primaria",2014-06-19,3,28,"PESPUNTADOR A-B",1,3,6,2,1400,1700,300,735,NA,NA,1700,1400,"A-PESPUNTADOR"
"A-PESPUNTADOR",11147,451,"PESPUNTE","masculino","LEON",1,1800,48,"Primaria",2015-08-05,5,15,"PESPUNTADOR A-B",1,1,5,2,1700,2000,300,294,NA,NA,2000,1700,"A-PESPUNTADOR"
"A-PESPUNTADOR",8641,1293,"PESPUNTE","masculino","LEON",1,1700,34,"Secundaria",2013-04-15,4,43,"PESPUNTADOR A-B",1,10,19,3,453.32,1700,1246.68,1141,-980,0,1700,453.32,"A-PESPUNTADOR"
"A-PESPUNTADOR",11863,135,"PESPUNTE","masculino","LEON",1,1700,32,"Primaria",2016-06-16,4,4,"PESPUNTADOR A-B",1,0,1,0,1700,1700,0,0,NA,NA,1700,1700,"A-PESPUNTADOR"
"A-PESPUNTADOR",12101,51,"PESPUNTE","masculino","LEON",1,1800,40,"Ninguno",2016-09-08,4,1,"PESPUNTADOR A-B",1,0,0,0,0,0,0,0,NA,NA,1800,1800,"A-PESPUNTADOR"
"A-PESPUNTADOR",12011,87,"PESPUNTE","masculino","LEON",3,1800,27,"Secundaria",2016-08-03,3,2,"PESPUNTADOR A-B",1,0,0,0,0,0,0,0,NA,NA,1800,1800,"A-PESPUNTADOR"
"A-PESPUNTADOR",10723,655,"PESPUNTE","masculino","LEON",1,1800,34,"Secundaria",2015-01-13,4,21,"PESPUNTADOR A-B",1,2,4,1,1700,1800,100,532,NA,NA,1800,1700,"A-PESPUNTADOR"
"A-PESPUNTADOR",8256,1664,"PESPUNTE","masculino","LEON",1,2000,44,"Primaria",2012-04-09,5,55,"PESPUNTADOR A-B",1,1,6,2,1700,2000,300,1379,NA,NA,2000,1700,"A-PESPUNTADOR"
"A-PESPUNTADOR",10698,684,"PESPUNTE","masculino","LEON",1,1900,34,"Secundaria",2014-12-15,4,22,"PESPUNTADOR A-B",1,2,8,2,1166,1900,734,189,NA,NA,1900,1166,"A-PESPUNTADOR"
"A-PESPUNTADOR",8562,1552,"PESPUNTE","masculino","LEON",3,1650,20,"Secundaria",2012-07-30,2,51,"PESPUNTADOR A-B",1,4,12,5,850,1650,800,1491,NA,NA,1650,850,"A-PESPUNTADOR"
"A-PESPUNTADOR",11827,142,"PESPUNTE","masculino","LEON",1,1700,50,"Primaria",2016-06-09,5,4,"PESPUNTADOR A-B",1,4,6,0,1700,1700,0,0,NA,NA,1700,1700,"A-PESPUNTADOR"
"A-PRELIMINAR",9121,1010,"AVIO","masculino","LEON",3,950,21,"Secundaria",2014-01-23,3,33,"PRELIMINAR A-B",2,0,1,0,950,950,0,0,-61,0,950,950,"A-PRELIMINAR"
"A-PRELIMINAR",12091,52,"AVIO","femenino","LEON",3,900,16,"Secundaria",2016-09-07,2,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"A-PRELIMINAR"
"A-PRELIMINAR",10879,561,"MANUALIDADES","masculino","LEON",3,1150,19,"Secundaria",2015-04-17,2,18,"PRELIMINAR A-B",2,0,2,1,1000,1150,150,267,NA,NA,1150,1000,"A-PRELIMINAR"
"A-PRELIMINAR",11662,47,"AVIO","femenino","LEON",3,1000,16,"Secundaria",2016-09-12,2,1,"PRELIMINAR A-B",2,0,2,1,900,1000,100,62,-20,0,1000,900,"A-PRELIMINAR"
"A-PRELIMINAR",11429,136,"PESPUNTE","femenino","LEON",3,1200,22,"Secundaria",2016-06-15,3,4,"PRELIMINAR A-B",2,0,2,1,1100,1200,100,0,-182,0,1200,1100,"A-PRELIMINAR"
"A-PRELIMINAR",11954,102,"PESPUNTE","femenino","LEON",3,1000,21,"Secundaria",2016-07-19,3,3,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1000,1000,"A-PRELIMINAR"
"A-PRELIMINAR",10730,26,"AVIO","femenino","LEON",3,1000,19,"Secundaria",2016-10-03,2,0,"PRELIMINAR A-B",2,1,2,0,1000,1000,0,0,-35,0,1000,1000,"A-PRELIMINAR"
"A-PRELIMINAR",10327,201,"AVIO","masculino","LEON",4,1100,20,"Secundaria",2016-04-11,2,6,"PRELIMINAR A-B",2,0,2,1,900,1100,200,413,-217,0,1100,900,"A-PRELIMINAR"
"A-PRELIMINAR",8324,1642,"PESPUNTE","femenino","LEON",1,1150,26,"Secundaria",2012-05-01,3,54,"PRELIMINAR A-B",2,3,6,2,900,1150,250,1457,NA,NA,1150,900,"A-PRELIMINAR"
"A-PRELIMINAR",11479,261,"PESPUNTE","masculino","LEON",3,1200,20,"Primaria",2016-01-18,2,8,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1200,1200,"A-PRELIMINAR"
"A-PRELIMINAR",9523,1242,"PESPUNTE","femenino","LEON",3,1100,20,"Secundaria",2013-06-05,2,41,"PRELIMINAR A-B",2,3,6,1,950,1100,150,349,NA,NA,1100,950,"A-PRELIMINAR"
"A-PRELIMINAR",10898,556,"PESPUNTE","femenino","LEON",1,1050,28,"Secundaria",2015-04-22,3,18,"PRELIMINAR A-B",2,0,2,1,1050,1100,50,182,NA,NA,1100,1050,"A-PRELIMINAR"
"A-PRELIMINAR",12079,30,"AVIO","masculino","LEON",3,900,16,"Secundaria",2016-09-05,2,1,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"A-PRELIMINAR"
"A-PRELIMINAR",11946,113,"PESPUNTE","masculino","LEON",3,1000,16,"Secundaria",2016-07-08,2,3,"PRELIMINAR A-B",2,0,2,1,800,1000,200,7,NA,NA,1000,800,"A-PRELIMINAR"
"A-PRELIMINAR",8423,1600,"PREPARADO","femenino","LEON",3,1100,21,"Secundaria",2012-06-12,3,53,"PRELIMINAR A-B",2,0,4,3,100,1100,1000,1037,NA,NA,1100,100,"A-PRELIMINAR"
"A-PRELIMINAR",9127,1341,"AVIO","femenino","LEON",1,1100,36,"Secundaria",2013-02-26,4,44,"PRELIMINAR A-B",2,1,3,1,1000,1100,100,231,NA,NA,1100,1000,"A-PRELIMINAR"
"A-PRELIMINAR",10974,529,"MANUALIDADES","masculino","LEON",1,1150,19,"Secundaria",2015-05-19,2,17,"PRELIMINAR A-B",2,0,2,1,1000,1150,150,267,NA,NA,1150,1000,"A-PRELIMINAR"
"A-PRELIMINAR",10506,803,"AVIO","femenino","LEON",3,900,20,"Primaria",2014-08-18,2,26,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,900,900,"A-PRELIMINAR"
"A-PRELIMINAR",12128,22,"MONTADO","femenino","LEON",5,1100,47,"Primaria",2016-10-07,5,0,"PRELIMINAR A-B",2,0,1,0,1100,1100,0,0,NA,NA,1100,1100,"A-PRELIMINAR"
"A-PRELIMINAR",12126,24,"PREPARADO","masculino","LEON",3,1100,18,"Ninguno",2016-10-05,2,0,"PRELIMINAR A-B",2,0,0,0,0,0,0,0,NA,NA,1100,1100,"A-PRELIMINAR"
"A-PRELIMINAR",11554,256,"PREPARADO","masculino","LEON",3,900,17,"Secundaria",2016-02-16,2,8,"PRELIMINAR A-B",2,0,1,0,900,900,0,0,NA,NA,900,900,"A-PRELIMINAR"
"A-PRELIMINAR",10466,815,"PESPUNTE","femenino","LEON",3,1100,20,"Ninguno",2014-08-06,2,27,"PRELIMINAR A-B",2,0,2,1,1000,1100,100,364,NA,NA,1100,1000,"A-PRELIMINAR"
"A-PRELIMINAR",10249,893,"MONTADO","masculino","LEON",3,1250,20,"Ninguno",2014-05-20,2,29,"PRELIMINAR A-B",2,1,4,2,1000,1250,250,379,NA,NA,1250,1000,"A-PRELIMINAR"
"A-PRELIMINAR",9044,1355,"PESPUNTE","femenino","LEON",1,1100,25,"Primaria",2013-02-12,3,45,"PRELIMINAR A-B",2,8,18,2,900,1100,200,1225,NA,NA,1100,900,"A-PRELIMINAR"
"A-PRELIMINAR",9131,1346,"AVIO","masculino","LEON",3,950,22,"Ninguno",2013-02-21,3,44,"PRELIMINAR A-B",2,0,1,0,950,950,0,0,NA,NA,950,950,"A-PRELIMINAR"
"A-PRELIMINAR",11122,283,"PESPUNTE","femenino","LEON",3,1100,17,"Secundaria",2016-01-20,2,9,"PRELIMINAR A-B",2,0,2,1,950,1100,150,196,-271,0,1100,950,"A-PRELIMINAR"
"A-PRELIMINAR",11032,502,"PESPUNTE","femenino","LEON",3,1000,26,"Secundaria",2015-06-15,3,16,"PRELIMINAR A-B",2,0,2,1,1000,1150,150,41,NA,NA,1150,1000,"A-PRELIMINAR"
