subdepto,depto,depto.group
ADMINISTRACION,ADMIN,ADMIN
CAP SUPERVISOR,ADMIN,ADMIN
CAPACITACION,ADMIN,ADMIN
COMPRAS,ADMIN,ADMIN
DESARROLLO,ADMIN,ADMIN
INGENIERIA,ADMIN,ADMIN
MEDINA,ADMIN,ADMIN
PRODUCCION,ADMIN,ADMIN
SERVICIOS MULTI,ADMIN,ADMIN
STEVE MADDEN,ADMIN,ADMIN
TIENDAS,ADMIN,ADMIN
VENTAS,ADMIN,ADMIN
CALIDAD,CALIDAD,CALIDAD
ARMADO2,PRODUCCION,PESPUNTE
CORTE CLICKING,PRODUCCION,CORTE
CORTE FLASH,PRODUCCION,CORTE
CORTE LASER,PRODUCCION,CORTE
CORTE1,PRODUCCION,CORTE
CORTE2,PRODUCCION,CORTE
ENCUARTE2,PRODUCCION,PESPUNTE
FAMILIA1,PRODUCCION,PESPUNTE
FAMILIA10,PRODUCCION,PESPUNTE
FAMILIA2,PRODUCCION,PESPUNTE
FAMILIA3,PRODUCCION,PESPUNTE
FAMILIA4,PRODUCCION,PESPUNTE
FAMILIA5,PRODUCCION,PESPUNTE
FAMILIA6,PRODUCCION,PESPUNTE
FAMILIA7,PRODUCCION,PESPUNTE
FAMILIA8,PRODUCCION,PESPUNTE
MANUALIDADES,PRODUCCION,MANUALIDADES
MONTADO1,PRODUCCION,MONTADO
MONTADO2,PRODUCCION,MONTADO
MONTADO3,PRODUCCION,MONTADO
MONTADO4,PRODUCCION,MONTADO
MONTADO5,PRODUCCION,MONTADO
MONTADO6,PRODUCCION,MONTADO
PESPUNTE1,PRODUCCION,PESPUNTE
PESPUNTE2,PRODUCCION,PESPUNTE
PESPUNTE3,PRODUCCION,PESPUNTE
PESPUNTE4,PRODUCCION,PESPUNTE
PESPUNTE5,PRODUCCION,PESPUNTE
PESPUNTE6,PRODUCCION,PESPUNTE
PLANTAS,PRODUCCION,AVIO
PREACABADO,PRODUCCION,AVIO
PREPARADO1,PRODUCCION,PREPARADO
PREPARADO2,PRODUCCION,PREPARADO
SUELAS,PRODUCCION,AVIO
TACONES,PRODUCCION,AVIO
