puesto,grupo.puesto,nivel.critico
CALIDAD,CALIDAD,6
CALIDAD ANDREA,CALIDAD,6
CORTADOR,CORTADOR,3
CORTADOR AUTOMATICA,CORTADOR,3
CORTADOR CLICKING,CORTADOR,3
CORTADOR FLASH,CORTADOR,3
CORTADOR FORRO,CORTADOR,3
CORTADOR LASSER,CORTADOR,3
CORTADOR PIEL,CORTADOR,3
CORTADOR PUENTE,CORTADOR,3
SUAJADOR,CORTADOR,3
APOMAZADOR,CRITICO,0
APOMAZAR,CRITICO,0
CARDADOR,CRITICO,0
CENTRADOR,CRITICO,0
COMODIN,CRITICO,0
COMODIN CORTE,CRITICO,0
COMODIN PESPUNT,CRITICO,0
CONFORMADOR,CRITICO,0
DESVIRAR,CRITICO,0
DISTRIBUIDOR,CRITICO,0
DIVIDIDOR,CRITICO,0
ENCERQUILLADOR,CRITICO,0
ENTACONADOR,CRITICO,0
MONTADOR DE LADOS,CRITICO,0
MONTADOR TALONES,CRITICO,0
PEGADOR,CRITICO,0
PEG-AVIO,CRITICO,0
DOBLILLADOR,DOBLILLADOR,3
DOBLILLADOR A MANO,DOBLILLADOR,3
DOBLILLADOR A MAQUIN,DOBLILLADOR,3
A-PESPUNTADOR,PESPUNTADOR A-B,1
B-PESPUNTADOR,PESPUNTADOR A-B,1
MEDIO PESPUNTADOR,PESPUNTADOR A-B,1
PESPUNTADOR A,PESPUNTADOR A-B,1
PESPUNTADOR B,PESPUNTADOR A-B,1
PIOCHERO,PESPUNTADOR A-B,1
C-PESPUNTADOR,PESPUNTADOR C,4
PESPUNTADOR C,PESPUNTADOR C,4
APLICAR CREMA,PRELIMINAR C,5
APLICAR SPRAY,PRELIMINAR C,5
CLAVAR PLANTA,PRELIMINAR C,5
ACENTADOR,PRELIMINAR A-B,2
ADORNADORA,PRELIMINAR A-B,2
AFINADOR,PRELIMINAR A-B,2
ALIMENTAR BANDA,PRELIMINAR A-B,2
A-PRELIMINAR,PRELIMINAR A-B,2
ARMAR LOTES,PRELIMINAR A-B,2
ARREGLAR ZAPATO,PRELIMINAR A-B,2
B-PRELIMINAR,PRELIMINAR A-B,2
DOMADOR,PRELIMINAR A-B,2
EMPALMADORA,PRELIMINAR A-B,2
FOLIADORA,PRELIMINAR A-B,2
OPERADOR LASER,PRELIMINAR A-B,2
PREACABADOR,PRELIMINAR A-B,2
PRECONFORMADOR,PRELIMINAR A-B,2
PRECONFORMAR,PRELIMINAR A-B,2
PRELIMINAR A,PRELIMINAR A-B,2
PRELIMINAR B,PRELIMINAR A-B,2
PULIDOR,PRELIMINAR A-B,2
RECORTADOR A MAQUINA,PRELIMINAR A-B,2
RECORTAR,PRELIMINAR A-B,2
SERIGRAFISTA,PRELIMINAR A-B,2
TROQUELAR,PRELIMINAR A-B,2
ARMAR CJA-ETIQUETAR,PRELIMINAR C,5
BROCHUELEAR,PRELIMINAR C,5
C-PRELIMINAR,PRELIMINAR C,5
DAR ALTURA,PRELIMINAR C,5
DESBASURAR,PRELIMINAR C,5
DESCLAVAR-ASENTAR,PRELIMINAR C,5
EMB CORTE-PLANTA,PRELIMINAR C,5
EMBARRADOR PLANTILLA,PRELIMINAR C,5
EMB-AVIO,PRELIMINAR C,5
EMPLANTILLAR,PRELIMINAR C,5
ENCAJILLAR,PRELIMINAR C,5
FIJADOR PLANTA,PRELIMINAR C,5
FIJAR,PRELIMINAR C,5
FLAMEAR,PRELIMINAR C,5
GRAPAR DE LADOS,PRELIMINAR C,5
HALOGENAR SUELA,PRELIMINAR C,5
ING. ADMINISTRATIVA,PRELIMINAR C,5
LIMP ZAP MOTOTUL,PRELIMINAR C,5
LIMPIAR FORROS,PRELIMINAR C,5
LIMPIAR HORMA,PRELIMINAR C,5
LIMPIAR SUELA,PRELIMINAR C,5
LIMPIAR ZAPATO,PRELIMINAR C,5
PINTAR,PRELIMINAR C,5
PONER FIRME,PRELIMINAR C,5
PONER PAPEL,PRELIMINAR C,5
PONER RELLENO-POPOTE,PRELIMINAR C,5
PRENSAR,PRELIMINAR C,5
RAYADOR,PRELIMINAR C,5
RAYADOR ZAPATO,PRELIMINAR C,5
REB PUNTA-TALON,PRELIMINAR C,5
RESANAR,PRELIMINAR C,5
RIVETEAR,PRELIMINAR C,5
SACAR HORMA,PRELIMINAR C,5
TRAINEE,PRELIMINAR C,5
EMBARRADOR SUELA,PRELIMINAR C,5
EMBARRADOR ZAPATO,PRELIMINAR C,5
EMPACADOR,PRELIMINAR C,5
FORRADOR,PRELIMINAR C,5
FORRAR,PRELIMINAR C,5
PRELIMINAR C,PRELIMINAR C,5
REBAJADOR,REBAJADOR,3
