puesto,puesto.fit
ACENTADOR,ACENTADOR
ADORNADORA,ADORNADORA
AFINADOR,AFINADOR
ALIMENTAR BANDA,ALIMENTAR BANDA
A-PESPUNTADOR,A-PESPUNTADOR
APLICAR CREMA,APLICAR CREMA
APLICAR SPRAY,APLICAR SPRAY
APOMAZADOR,APOMAZADOR
APOMAZAR,APOMAZAR
A-PRELIMINAR,A-PRELIMINAR
ARMAR CJA-ETIQUETAR,ARMAR CJA-ETIQUETAR
ARMAR LOTES,ARMAR LOTES
ARREGLAR ZAPATO,ARREGLAR ZAPATO
B-PESPUNTADOR,B-PESPUNTADOR
B-PRELIMINAR,B-PRELIMINAR
BROCHUELEAR,BROCHUELEAR
CALIDAD,CALIDAD
CALIDAD ANDREA,CALIDAD ANDREA
CARDADOR,CARDADOR
CENTRADOR,CENTRADOR
CLAVAR PLANTA,CLAVAR PLANTA
COMODIN,COMODIN
COMODIN CORTE,COMODIN CORTE
COMODIN PESPUNT,COMODIN PESPUNT
CONFORMADOR,CONFORMADOR
CORTADOR,CORTADOR
CORTADOR AUTOMATICA,CORTADOR FLASH
CORTADOR CLICKING,CORTADOR CLICKING
CORTADOR FLASH,CORTADOR FLASH
CORTADOR FORRO,CORTADOR FORRO
CORTADOR LASSER,CORTADOR LASSER
CORTADOR PIEL,CORTADOR PIEL
CORTADOR PUENTE,CORTADOR FORRO
C-PESPUNTADOR,C-PESPUNTADOR
C-PRELIMINAR,C-PRELIMINAR
DAR ALTURA,DAR ALTURA
DESBASURAR,DESBASURAR
DESCLAVAR-ASENTAR,DESCLAVAR-ASENTAR
DESVIRAR,DESVIRAR
DISTRIBUIDOR,DISTRIBUIDOR
DIVIDIDOR,DIVIDIDOR
DOBLILLADOR,DOBLILLADOR
DOBLILLADOR A MANO,DOBLILLADOR A MANO
DOBLILLADOR A MAQUIN,DOBLILLADOR
DOMADOR,DOMADOR
EMB CORTE-PLANTA,EMB CORTE-PLANTA
EMBARRADOR PLANTILLA,EMBARRADOR PLANTILLA
EMBARRADOR SUELA,EMBARRADOR SUELA
EMBARRADOR ZAPATO,EMBARRADOR ZAPATO
EMB-AVIO,EMB-AVIO
EMPACADOR,EMPACADOR
EMPALMADORA,EMPALMADORA
EMPLANTILLAR,EMPLANTILLAR
ENCAJILLAR,ENCAJILLAR
ENCERQUILLADOR,ENCERQUILLADOR
ENTACONADOR,ENTACONADOR
FIJADOR PLANTA,FIJADOR PLANTA
FIJAR,FIJAR
FLAMEAR,FLAMEAR
FOLIADORA,FOLIADORA
FORRADOR,FORRADOR
FORRAR,FORRAR
GRAPAR DE LADOS,GRAPAR DE LADOS
HALOGENAR SUELA,HALOGENAR SUELA
ING. ADMINISTRATIVA,ING. ADMINISTRATIVA
LIMP ZAP MOTOTUL,LIMP ZAP MOTOTUL
LIMPIAR FORROS,C-PRELIMINAR
LIMPIAR HORMA,LIMPIAR HORMA
LIMPIAR SUELA,LIMPIAR SUELA
LIMPIAR ZAPATO,C-PRELIMINAR
MEDIO PESPUNTADOR,C-PESPUNTADOR
MONTADOR DE LADOS,MONTADOR DE LADOS
MONTADOR TALONES,MONTADOR TALONES
OPERADOR LASER,CORTADOR LASSER
PEGADOR,PEGADOR
PEG-AVIO,PEG-AVIO
PESPUNTADOR A,A-PESPUNTADOR
PESPUNTADOR B,B-PESPUNTADOR
PESPUNTADOR C,C-PESPUNTADOR
PINTAR,PINTAR
PIOCHERO,PIOCHERO
PONER FIRME,PONER FIRME
PONER PAPEL,PONER PAPEL
PONER RELLENO-POPOTE,PONER RELLENO-POPOTE
PREACABADOR,PREACABADOR
PRECONFORMADOR,PRECONFORMADOR
PRECONFORMAR,PRECONFORMADOR
PRELIMINAR A,A-PRELIMINAR
PRELIMINAR B,B-PRELIMINAR
PRELIMINAR C,C-PRELIMINAR
PRENSAR,PRENSAR
PULIDOR,PULIDOR
RAYADOR,RAYADOR
RAYADOR ZAPATO,RAYADOR ZAPATO
REB PUNTA-TALON,REB PUNTA-TALON
REBAJADOR,REBAJADOR
RECORTADOR A MAQUINA,RECORTADOR A MAQUINA
RECORTAR,RECORTAR
RESANAR,RESANAR
RIVETEAR,RIBETEAR
SACAR HORMA,SACAR HORMA
SERIGRAFISTA,SERIGRAFISTA
SUAJADOR,SUAJADOR
TRAINEE,TRAINEE
TROQUELAR,TROQUELAR
